epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7618,0.6608,23.9702,0.00572,0.01402,0.75463,0.05409,0.02427,0.88862,11.2053,0.01026,0.000329966,0.000329966,0.0673333
2,28.6021,0.65585,10.8754,0.00571,0.58154,0.06445,0.13446,0.0668,0.93102,9.13867,0.0118,0.000663295,0.000663295,0.0343333
3,40.8264,0.64097,9.3737,0.00543,0.08073,0.07137,0.10191,0.05492,1.09543,9.41765,0.01415,0.000996606,0.000996606,0.00133331
4,52.7941,0.77373,7.84931,0.00651,0.37437,0.15336,0.20103,0.10371,1.22047,8.73897,0.01594,0.000999939,0.000999939,0.000999939
5,65.0266,0.80813,7.26695,0.00743,0.46962,0.17558,0.16193,0.0836,1.0987,10.6048,0.01408,0.000999891,0.000999891,0.000999891
6,76.9924,0.71113,6.21007,0.0067,0.24409,0.29048,0.23419,0.1278,0.99611,7.52268,0.01212,0.00099983,0.00099983,0.00099983
7,88.4481,0.72994,5.54078,0.00648,0.1946,0.34481,0.21802,0.09375,1.18206,7.53835,0.01529,0.000999756,0.000999756,0.000999756
8,99.3891,0.7249,5.55777,0.00651,0.29688,0.50151,0.26033,0.11208,1.21296,7.36665,0.0158,0.000999668,0.000999668,0.000999668
9,110.3,0.81307,5.75486,0.00735,0.45274,0.34373,0.36536,0.18096,1.14928,9.27702,0.01537,0.000999566,0.000999566,0.000999566
10,121.004,0.67464,4.57982,0.00631,0.41803,0.41232,0.33117,0.17885,1.02756,8.23645,0.01287,0.00099945,0.00099945,0.00099945
11,131.455,0.69152,4.5844,0.00575,0.50607,0.50329,0.49786,0.32377,0.95418,6.08301,0.01182,0.000999322,0.000999322,0.000999322
12,142.165,0.80817,4.46463,0.00715,0.51545,0.53786,0.47663,0.29258,0.95062,6.03664,0.01169,0.000999179,0.000999179,0.000999179
13,152.675,0.71729,4.06284,0.00641,0.56822,0.49245,0.47324,0.29135,0.87027,6.82887,0.01021,0.000999023,0.000999023,0.000999023
14,163.151,0.73143,3.87005,0.00644,0.73686,0.41591,0.46879,0.29594,0.96848,6.63233,0.01169,0.000998854,0.000998854,0.000998854
15,173.985,0.70933,3.86384,0.00647,0.76209,0.28747,0.42553,0.28687,0.95397,6.66498,0.0122,0.000998671,0.000998671,0.000998671
16,184.319,0.70496,3.48307,0.00604,0.64067,0.33458,0.4397,0.30066,0.95874,6.13837,0.01211,0.000998474,0.000998474,0.000998474
17,195.15,0.61975,3.11023,0.00567,0.49589,0.56059,0.49455,0.32525,0.96469,6.25878,0.01247,0.000998264,0.000998264,0.000998264
18,206.076,0.69789,3.48964,0.00597,0.48274,0.55612,0.55595,0.29594,1.16922,5.91889,0.01523,0.00099804,0.00099804,0.00099804
19,216.783,0.72182,3.8365,0.0067,0.62771,0.54433,0.58308,0.31876,1.02667,6.26616,0.01353,0.000997803,0.000997803,0.000997803
20,227.742,0.6908,3.71293,0.00678,0.75049,0.55434,0.63444,0.38915,0.98012,5.17872,0.01259,0.000997553,0.000997553,0.000997553
21,238.968,0.66056,3.64725,0.00581,0.89593,0.51069,0.67148,0.42213,0.94302,4.7912,0.01262,0.000997288,0.000997288,0.000997288
22,249.839,0.63759,2.92464,0.0058,0.46396,0.54285,0.58541,0.32209,1.13179,5.63673,0.01534,0.000997011,0.000997011,0.000997011
23,260.582,0.65641,3.34827,0.00613,0.45636,0.51867,0.53836,0.27712,1.08875,6.11944,0.01458,0.00099672,0.00099672,0.00099672
24,271.698,0.67164,2.69833,0.00591,0.5583,0.67099,0.60124,0.3094,1.11971,5.52805,0.01511,0.000996415,0.000996415,0.000996415
25,282.99,0.63141,2.90238,0.00545,0.55012,0.63232,0.59931,0.32492,1.08483,5.40751,0.01482,0.000996097,0.000996097,0.000996097
26,293.693,0.61483,2.54368,0.00542,0.66296,0.55239,0.59744,0.34407,1.08328,5.37965,0.01481,0.000995765,0.000995765,0.000995765
27,304.939,0.62813,2.71468,0.00557,0.39849,0.54055,0.45549,0.28171,0.90614,5.91654,0.01192,0.00099542,0.00099542,0.00099542
28,316.32,0.60793,2.73761,0.00537,0.48859,0.5796,0.51565,0.31455,0.96768,5.65989,0.01308,0.000995062,0.000995062,0.000995062
29,328.456,0.59241,2.48894,0.00544,0.71777,0.59047,0.59495,0.34737,1.08388,5.67823,0.015,0.00099469,0.00099469,0.00099469
30,339.407,0.60119,2.40381,0.00552,0.75196,0.57475,0.59638,0.35002,1.11098,5.41841,0.01556,0.000994304,0.000994304,0.000994304
31,350.335,0.5749,1.99548,0.00512,0.63484,0.60859,0.60239,0.38147,0.98646,4.56808,0.01334,0.000993906,0.000993906,0.000993906
32,361.025,0.56744,2.149,0.00502,0.64728,0.59387,0.63841,0.4147,1.0218,4.56877,0.01397,0.000993494,0.000993494,0.000993494
33,371.805,0.54266,1.78863,0.00499,0.85953,0.55238,0.70733,0.46058,1.00758,4.39715,0.01378,0.000993068,0.000993068,0.000993068
34,382.71,0.52795,1.68636,0.00517,0.75938,0.65229,0.73066,0.46201,1.04169,4.54991,0.01432,0.000992629,0.000992629,0.000992629
35,393.733,0.54691,1.80133,0.00496,0.71526,0.66092,0.70211,0.46716,0.9871,4.52196,0.01344,0.000992177,0.000992177,0.000992177
36,404.391,0.64623,2.09171,0.00554,0.67457,0.64984,0.66702,0.43857,0.9635,4.85419,0.01335,0.000991711,0.000991711,0.000991711
37,415.228,0.64563,1.89081,0.00582,0.91119,0.51463,0.68916,0.45024,0.98281,4.56263,0.01375,0.000991232,0.000991232,0.000991232
38,425.558,0.59433,1.57117,0.00568,0.81544,0.51295,0.64929,0.33376,1.37897,5.14276,0.02119,0.00099074,0.00099074,0.00099074
39,435.741,0.60911,1.3607,0.0058,0.76215,0.67947,0.73215,0.3709,1.36166,4.96437,0.02131,0.000990234,0.000990234,0.000990234
40,446.368,0.54331,1.40567,0.0052,0.92447,0.67034,0.77594,0.47607,1.09974,4.22679,0.01556,0.000989715,0.000989715,0.000989715
41,456.947,0.60803,1.6294,0.00589,0.88963,0.68718,0.77832,0.47612,1.1011,4.02916,0.01526,0.000989183,0.000989183,0.000989183
42,467.52,0.56028,1.49296,0.00541,0.87223,0.66054,0.77675,0.4846,1.07697,4.12721,0.0143,0.000988638,0.000988638,0.000988638
43,478.63,0.60422,1.90376,0.00552,0.90924,0.6156,0.76916,0.50134,1.02368,4.002,0.01331,0.000988079,0.000988079,0.000988079
44,490.208,0.50963,1.44912,0.00489,0.89564,0.66825,0.79264,0.54278,0.9528,3.70678,0.01227,0.000987507,0.000987507,0.000987507
45,502.158,0.51263,1.17269,0.00464,0.88485,0.7142,0.80624,0.53306,0.97647,3.7315,0.01251,0.000986922,0.000986922,0.000986922
46,514.353,0.54899,1.64699,0.00542,0.68294,0.72388,0.75835,0.49282,0.99172,4.17619,0.01241,0.000986323,0.000986323,0.000986323
47,525.992,0.52496,1.58229,0.0048,0.83669,0.6848,0.7896,0.51636,0.96466,3.87224,0.01218,0.000985711,0.000985711,0.000985711
48,538.11,0.64945,1.8244,0.00607,0.79865,0.68105,0.78542,0.53343,0.92785,3.84048,0.01163,0.000985087,0.000985087,0.000985087
49,550.214,0.68427,1.78158,0.00594,0.82557,0.64746,0.751,0.4895,0.99274,3.88788,0.01323,0.000984449,0.000984449,0.000984449
50,562.235,0.55724,1.67473,0.00523,0.83999,0.6342,0.76756,0.45971,1.12672,3.80976,0.01506,0.000983798,0.000983798,0.000983798
51,572.622,0.55849,1.37362,0.00501,0.75211,0.69134,0.7457,0.50392,0.99691,3.89431,0.01384,0.000983133,0.000983133,0.000983133
52,582.856,0.50012,1.26411,0.00437,0.70938,0.68475,0.73078,0.50809,0.92046,4.09074,0.01284,0.000982456,0.000982456,0.000982456
53,593.352,0.54995,1.37218,0.00529,0.79819,0.65875,0.74349,0.41718,1.16894,4.68997,0.01691,0.000981765,0.000981765,0.000981765
54,603.469,0.69736,1.44898,0.00642,0.86674,0.6399,0.75989,0.36989,1.32319,4.90192,0.01926,0.000981062,0.000981062,0.000981062
55,613.985,0.59672,1.4277,0.00592,0.76358,0.74036,0.81901,0.52431,1.00339,3.64419,0.01388,0.000980345,0.000980345,0.000980345
56,624.653,0.55702,1.30631,0.00532,0.77063,0.74809,0.83381,0.555,0.96133,3.55941,0.01358,0.000979616,0.000979616,0.000979616
57,635.486,0.59491,1.50654,0.00525,0.84737,0.76239,0.83266,0.56257,0.96633,3.39772,0.01333,0.000978873,0.000978873,0.000978873
58,646.093,0.53389,1.56972,0.00499,0.83915,0.69504,0.82872,0.5549,1.00926,3.75564,0.01421,0.000978118,0.000978118,0.000978118
59,656.702,0.50863,1.23262,0.00461,0.90327,0.7501,0.84887,0.55712,1.0078,3.19362,0.01422,0.000977349,0.000977349,0.000977349
60,666.998,0.46397,1.13826,0.00429,0.81327,0.6751,0.78106,0.52405,1.01136,3.49965,0.01457,0.000976567,0.000976567,0.000976567
61,677.262,0.49117,1.24131,0.00416,0.89152,0.67509,0.77664,0.51551,1.00964,3.66385,0.0145,0.000975773,0.000975773,0.000975773
62,687.841,0.49209,1.42327,0.00456,0.67843,0.73712,0.76394,0.49822,0.99151,3.80337,0.01388,0.000974966,0.000974966,0.000974966
63,698.299,0.50286,1.33001,0.00435,0.80038,0.7068,0.76938,0.51653,0.9641,3.87875,0.01356,0.000974145,0.000974145,0.000974145
64,708.963,0.5483,1.61613,0.00507,0.85872,0.73459,0.78158,0.55764,0.82901,3.79151,0.01135,0.000973312,0.000973312,0.000973312
65,719.338,0.52174,1.21627,0.00461,0.82076,0.7485,0.79582,0.57056,0.88374,3.64724,0.01226,0.000972466,0.000972466,0.000972466
66,730.161,0.42947,1.03726,0.00399,0.92149,0.69465,0.78864,0.5311,1.00568,3.82241,0.01348,0.000971608,0.000971608,0.000971608
67,740.504,0.48644,1.23713,0.0045,0.90409,0.68229,0.77359,0.53054,1.01079,4.09385,0.01364,0.000970736,0.000970736,0.000970736
68,751.087,0.50546,1.25687,0.00431,0.84343,0.62124,0.73952,0.53372,0.9272,3.98238,0.01268,0.000969852,0.000969852,0.000969852
69,761.548,0.4841,1.10503,0.00426,0.86569,0.59444,0.72091,0.51458,0.92768,4.02179,0.013,0.000968955,0.000968955,0.000968955
